Date,Close,High,Low,Open,Volume,return
2019-01-02,6734.2001953125,6753.2998046875,6599.5,6728.10009765625,614252000.0,
2019-01-03,6692.7001953125,6753.10009765625,6685.10009765625,6734.2001953125,674099100.0,-0.6181639983127057
2019-01-04,6837.39990234375,6850.39990234375,6692.5,6692.7001953125,639136700.0,2.1390118782479974
2019-01-07,6810.89990234375,6874.10009765625,6778.0,6837.39990234375,736559900.0,-0.38832724486498027
2019-01-08,6861.60009765625,6901.5,6804.89990234375,6810.89990234375,651977000.0,0.7416409245037757
2019-01-09,6906.60009765625,6938.2998046875,6861.60009765625,6861.60009765625,860684900.0,0.6536825380129173
2019-01-10,6942.89990234375,6948.2001953125,6860.7998046875,6906.60009765625,611434300.0,0.5242050299471617
2019-01-11,6918.2001953125,7001.89990234375,6902.7001953125,6942.89990234375,680478600.0,-0.35638921875583274
2019-01-14,6855.0,6918.2001953125,6841.7001953125,6918.2001953125,683449700.0,-0.917733540412482
2019-01-15,6895.0,6910.5,6849.60009765625,6855.0,687341200.0,0.5818198230987481
2019-01-16,6862.7001953125,6912.39990234375,6848.60009765625,6895.0,787626400.0,-0.4695532476286823
2019-01-17,6834.89990234375,6862.7001953125,6799.0,6862.7001953125,582654200.0,-0.4059153565884007
2019-01-18,6968.2998046875,6984.39990234375,6834.89990234375,6834.89990234375,795742900.0,1.932943935256045
2019-01-21,6970.60009765625,6987.89990234375,6954.5,6968.2998046875,474827100.0,0.03300537353375131
2019-01-22,6901.39990234375,6970.60009765625,6880.7001953125,6970.60009765625,565967800.0,-0.9977042868389784
2019-01-23,6842.89990234375,6901.60009765625,6834.2998046875,6901.39990234375,646039700.0,-0.8512671303821339
2019-01-24,6819.0,6854.60009765625,6802.0,6842.89990234375,599978600.0,-0.3498770580265271
2019-01-25,6809.2001953125,6858.2001953125,6806.7998046875,6819.0,727497200.0,-0.14381658966186936
2019-01-28,6747.10009765625,6812.5,6734.0,6809.2001953125,648213700.0,-0.9161870230529288
2019-01-29,6833.89990234375,6860.2998046875,6747.10009765625,6747.10009765625,697035900.0,1.2782709165940092
2019-01-30,6941.60009765625,6967.7001953125,6833.89990234375,6833.89990234375,748772100.0,1.5636802988097078
2019-01-31,6968.89990234375,6994.89990234375,6941.10009765625,6941.60009765625,866316300.0,0.3925069513860492
2019-02-01,7020.2001953125,7024.5,6968.89990234375,6968.89990234375,630712300.0,0.7334356402611306
2019-02-04,7034.10009765625,7046.60009765625,7002.39990234375,7020.2001953125,611990600.0,0.19780290140471976
2019-02-05,7177.39990234375,7180.7001953125,7033.60009765625,7034.10009765625,662979300.0,2.016742238629892
2019-02-06,7173.10009765625,7184.2001953125,7146.7001953125,7177.39990234375,599487700.0,-0.05992550526008129
2019-02-07,7093.60009765625,7187.5,7093.60009765625,7173.10009765625,649638500.0,-1.1144948979151292
2019-02-08,7071.2001953125,7115.7998046875,7064.89990234375,7093.60009765625,532300500.0,-0.3162758465028004
2019-02-11,7129.10009765625,7149.2001953125,7071.2001953125,7071.2001953125,548318300.0,0.8154788562718418
2019-02-12,7133.10009765625,7168.60009765625,7121.7001953125,7129.10009765625,526735100.0,0.0560923286744088
2019-02-13,7190.7998046875,7205.10009765625,7133.10009765625,7133.10009765625,561646800.0,0.8056467793775582
2019-02-14,7197.0,7232.7998046875,7183.0,7190.7998046875,519107200.0,0.08618684969860528
2019-02-15,7236.7001953125,7261.60009765625,7185.2001953125,7197.0,688422300.0,0.5501055847252007
2019-02-18,7219.5,7242.10009765625,7209.7001953125,7236.7001953125,440062500.0,-0.23796299437825502
2019-02-19,7179.2001953125,7219.5,7162.7998046875,7219.5,624124300.0,-0.5597714984225942
2019-02-20,7228.60009765625,7234.2001953125,7178.0,7179.2001953125,861254900.0,0.6857409864258683
2019-02-21,7167.39990234375,7228.7998046875,7141.89990234375,7228.60009765625,798796000.0,-0.8502440122231324
2019-02-22,7178.60009765625,7220.5,7162.39990234375,7167.39990234375,646718000.0,0.15614383923170883
2019-02-25,7183.7001953125,7210.7001953125,7158.2001953125,7178.60009765625,644937500.0,0.0710206271500659
2019-02-26,7151.10009765625,7183.7998046875,7091.60009765625,7183.7001953125,865719700.0,-0.4548393167983609
2019-02-27,7107.2001953125,7151.10009765625,7082.60009765625,7151.10009765625,870721000.0,-0.6157822483866559
2019-02-28,7074.7001953125,7107.2001953125,7041.0,7107.2001953125,979616900.0,-0.4583314788307433
2019-03-01,7106.7001953125,7129.7001953125,7074.7001953125,7074.7001953125,700825200.0,0.4512961122323426
2019-03-04,7134.39990234375,7166.2001953125,7106.7001953125,7106.7001953125,634698800.0,0.38901126700717026
2019-03-05,7183.39990234375,7191.7001953125,7127.2001953125,7134.39990234375,795291200.0,0.6844653783335686
2019-03-06,7196.0,7211.7998046875,7170.2998046875,7183.39990234375,791979200.0,0.1752521101957524
2019-03-07,7157.60009765625,7196.0,7126.60009765625,7196.0,691317400.0,-0.5350573193323246
2019-03-08,7104.2998046875,7157.60009765625,7077.89990234375,7157.60009765625,622101900.0,-0.7474535859167791
2019-03-11,7130.60009765625,7181.60009765625,7104.2998046875,7104.2998046875,674285200.0,0.36951890178992464
2019-03-12,7151.2001953125,7166.60009765625,7083.2001953125,7130.60009765625,752033900.0,0.28848060496601347
2019-03-13,7159.2001953125,7181.89990234375,7128.7001953125,7151.2001953125,744627600.0,0.1118068064486083
2019-03-14,7185.39990234375,7215.5,7148.10009765625,7159.2001953125,791259700.0,0.36529057605430165
2019-03-15,7228.2998046875,7243.7998046875,7185.39990234375,7185.39990234375,1335709200.0,0.5952674177080011
2019-03-18,7299.2001953125,7299.2001953125,7228.2001953125,7228.2998046875,642988100.0,0.9760929760536317
2019-03-19,7324.0,7350.10009765625,7294.5,7299.2001953125,598904100.0,0.33918469462633305
2019-03-20,7291.0,7341.60009765625,7291.0,7324.0,748851100.0,-0.4515915987971065
2019-03-21,7355.2998046875,7370.60009765625,7290.60009765625,7291.0,709429100.0,0.8780404422492095
2019-03-22,7207.60009765625,7356.39990234375,7192.7998046875,7355.2998046875,694767600.0,-2.0285076827197113
2019-03-25,7177.60009765625,7208.10009765625,7146.7998046875,7207.60009765625,586169600.0,-0.4170959470139347
2019-03-26,7196.2998046875,7221.0,7169.39990234375,7177.60009765625,629605500.0,0.260189895683936
2019-03-27,7194.2001953125,7222.60009765625,7160.10009765625,7196.2998046875,678742500.0,-0.02918049254575619
2019-03-28,7234.2998046875,7265.5,7190.89990234375,7194.2001953125,568044400.0,0.5558403523245224
2019-03-29,7279.2001953125,7287.7001953125,7223.2998046875,7234.2998046875,794400900.0,0.6187416387856378
2019-04-01,7317.39990234375,7352.2001953125,7279.2001953125,7279.2001953125,697005200.0,0.5234067383343661
2019-04-02,7391.10009765625,7403.60009765625,7316.7998046875,7317.39990234375,720842000.0,1.0021526617506982
